"Date","Open","High","Low","Close"
"02 Aug 2018","27469.50","27487.90","27327.95","27355.95"
"01 Aug 2018","27684.80","27820.15","27477.90","27596.60"
"31 Jul 2018","27797.20","27839.20","27651.30","27764.15"
"30 Jul 2018","27767.65","27873.70","27607.95","27842.60"
"27 Jul 2018","27497.80","27661.05","27455.00","27634.40"
"26 Jul 2018","27054.70","27455.10","27045.05","27406.40"
"25 Jul 2018","26992.55","27074.00","26939.35","27031.30"
"24 Jul 2018","26984.15","27128.00","26868.15","26974.40"
"23 Jul 2018","26701.30","27040.10","26671.35","27008.15"
"20 Jul 2018","26764.40","26946.55","26718.60","26873.20"
"19 Jul 2018","26960.20","27025.45","26730.10","26789.65"
"18 Jul 2018","27107.35","27187.15","26834.45","26880.90"
"17 Jul 2018","26662.85","27041.35","26653.65","27008.10"
"16 Jul 2018","26914.50","26939.05","26643.95","26679.80"
"13 Jul 2018","27046.85","27102.35","26902.30","26935.95"
"12 Jul 2018","26937.50","27164.80","26936.05","27026.55"
"11 Jul 2018","26900.65","26938.85","26774.60","26816.20"
"10 Jul 2018","26844.55","26939.55","26778.50","26894.55"
"09 Jul 2018","26642.35","26781.20","26611.55","26753.30"
"06 Jul 2018","26427.55","26609.85","26410.00","26493.85"
"05 Jul 2018","26481.55","26598.45","26415.20","26503.30"
"04 Jul 2018","26249.25","26480.50","26132.90","26433.95"
"03 Jul 2018","26210.10","26316.10","26142.00","26204.10"
"02 Jul 2018","26364.45","26371.60","26060.60","26230.30"
"29 Jun 2018","26312.70","26465.00","26291.35","26364.20"
"28 Jun 2018","26398.10","26487.85","26161.00","26324.60"
"27 Jun 2018","26616.30","26634.30","26336.50","26423.40"
"26 Jun 2018","26495.65","26712.60","26479.65","26601.70"
"25 Jun 2018","26718.15","26804.90","26573.00","26609.70"
"22 Jun 2018","26518.40","26806.55","26364.25","26766.85"
"21 Jun 2018","26645.30","26682.95","26454.95","26496.95"
"20 Jun 2018","26320.45","26574.75","26309.95","26557.70"
"19 Jun 2018","26448.10","26448.10","26224.75","26265.75"
"18 Jun 2018","26444.30","26477.50","26322.45","26409.30"
